diseases,medicine_1,medicine_2,medicine_3,side_effects
sepsis,Piperacillin-Tazobactam,Vancomycin,Norepinephrine (vasopressor),"Nephrotoxicity, diarrhea, arrhythmias, C. difficile infection, tissue ischemia"
heat stroke,Rapid Evaporative Cooling,Cold Water Immersion,IV Normal Saline,"Electrolyte disturbance, fluid overload, shivering, hyperchloremic acidosis, skin irritation"
cholecystitis,Cholecystectomy (laparoscopic),Piperacillin-Tazobactam (antibiotics),Ketorolac (pain),"Bleeding, GI upset, infection, renal impairment, C. difficile infection"
cardiac arrest,Cardiopulmonary Resuscitation (CPR),Epinephrine,Defibrillation (shockable rhythm),"Rib fractures, tachycardia, arrhythmias, skin burns, myocardial injury"
cardiomyopathy,Lisinopril (ACE inhibitor),Carvedilol (beta-blocker),Furosemide,"Dry cough, bradycardia, electrolyte imbalance, hypotension, renal impairment"
social phobia,Sertraline,Venlafaxine,Cognitive Behavioral Therapy (CBT),"Nausea, insomnia, hypertension, sexual dysfunction, emotional distress during therapy"
meningitis,Ceftriaxone,Vancomycin (add for resistant),Dexamethasone (adjunct),"Allergic reactions, nephrotoxicity, hyperglycemia, C. difficile infection, immunosuppression"
spherocytosis,Folic Acid,Splenectomy (severe),Blood Transfusion (crisis),"Iron overload, infection risk post-splenectomy, transfusion reactions, bloating, alloimmunization"
hormone disorder,Levothyroxine (hypothyroidism),Hydrocortisone (adrenal insufficiency),Cabergoline (prolactinoma),"Palpitations, hyperglycemia, nausea, orthostatic hypotension, osteoporosis"
raynaud disease,Nifedipine,Amlodipine,Losartan,"Peripheral edema, flushing, headache, hypotension, dizziness"
reactive arthritis,Ibuprofen (NSAIDs),Naproxen,Sulfasalazine (chronic),"GI upset, nausea, hepatotoxicity, peptic ulcer, bone marrow suppression"
scabies,Permethrin 5% Cream,Ivermectin (oral),Benzyl Benzoate,"Skin burning, itching at application site, nausea, dizziness, skin irritation"
ear wax impaction,Carbamide Peroxide (cerumenolytic),Irrigation (ear syringing),Manual Removal (curette),"Local irritation, dizziness, ear canal trauma, tympanic membrane risk, discomfort"
hypertension of pregnancy,Labetalol,Nifedipine (extended release),Methyldopa,"Bradycardia, hypotension, flushing, sedation, neonatal bradycardia"
peripheral arterial embolism,Heparin (anticoagulation),Embolectomy (surgical),Alteplase (thrombolysis),"Bleeding, HIT, intracranial hemorrhage, hypotension, infection"
rosacea,Metronidazole (topical),Azelaic Acid (topical),Doxycycline (oral),"Local skin irritation, dryness, photosensitivity, burning, nausea"
fracture of the skull,Neurosurgical Intervention (if displaced),Mannitol (ICP management),Ceftriaxone (if open),"Bleeding, electrolyte imbalance, infection, renal impairment, allergic reactions"
uveitis,Prednisolone Acetate (topical),Cyclopentolate (mydriatic),Prednisone (oral - severe),"Increased intraocular pressure, cataracts, blurred vision, hyperglycemia, immunosuppression"
fracture of the facial bones,Open Reduction Internal Fixation (ORIF),Ibuprofen,Amoxicillin-Clavulanate,"Bleeding, GI upset, infection, allergic reactions, nerve damage"
tracheitis,Amoxicillin-Clavulanate,Ceftriaxone (severe),Dexamethasone (airway),"Diarrhea, nausea, hyperglycemia, allergic reactions, immunosuppression"
jaw disorder (TMJ),Ibuprofen,Muscle Relaxants (Cyclobenzaprine),Occlusal Splint Therapy,"GI upset, sedation, dry mouth, dizziness, jaw soreness"
perirectal infection,Incision and Drainage (I&D),Amoxicillin-Clavulanate,Ciprofloxacin + Metronidazole,"Pain, diarrhea, nausea, metallic taste, C. difficile infection"
breast cyst,Aspiration (fine needle),Combined Oral Contraceptive (prevention),Danazol (refractory),"Local pain, nausea, thromboembolism, weight gain, hirsutism"
post-traumatic stress disorder (ptsd),Sertraline,Paroxetine,Prolonged Exposure Therapy,"Nausea, insomnia, sexual dysfunction, weight gain, temporary emotional distress"
kidney cancer,Sunitinib,Pembrolizumab,Nephrectomy (surgery),"Fatigue, hypertension, immune-related adverse events, bleeding, hand-foot syndrome"
vulvar cancer,Surgical Resection,Chemoradiation (Cisplatin + RT),Cisplatin (neoadjuvant),"Nephrotoxicity, myelosuppression, nausea, bleeding, radiation skin reactions"
blepharitis,Lid Hygiene (warm compresses),Erythromycin (ophthalmic ointment),Doxycycline (oral - chronic),"Local eye irritation, photosensitivity, blurred vision, nausea, skin irritation"
celiac disease,Strict Gluten-Free Diet,Dietary Counseling,Budesonide (refractory),"Nutritional deficiencies, hyperglycemia, adrenal suppression, compliance difficulty, increased infection risk"
cystitis,Nitrofurantoin,Trimethoprim-Sulfamethoxazole,Fosfomycin,"Nausea, rash, pulmonary toxicity (nitrofurantoin long-term), diarrhea, photosensitivity"
sickle cell anemia,Hydroxyurea,Voxelotor,L-Glutamine,"Bone marrow suppression, nausea, headache, rash, abdominal discomfort"
subconjunctival hemorrhage,Artificial Tears,Observation,Lubricating Eye Drops,"Temporary blurred vision, preservative-related irritation, patient anxiety, allergic reaction"
hemorrhoids,Fiber Supplementation,Sitz Baths,Rubber Band Ligation,"Bloating, flatulence, pain after ligation, bleeding, skin maceration"
contact dermatitis,Hydrocortisone (topical),Triamcinolone (topical),Diphenhydramine (oral - itch),"Skin atrophy, sedation, dry mouth, secondary infections, HPA suppression"
sinus bradycardia,Atropine,Transcutaneous Pacing,Dopamine (infusion),"Dry mouth, tachycardia, skin burns (pacing), arrhythmias, urinary retention"
high blood pressure,Amlodipine,Lisinopril,Hydrochlorothiazide,"Peripheral edema, dry cough, electrolyte imbalance, dizziness, hyperuricemia"
pelvic inflammatory disease,Cefoxitin + Doxycycline,Ceftriaxone + Doxycycline + Metronidazole,Clindamycin + Gentamicin,"Nausea, photosensitivity, nephrotoxicity, C. difficile infection, GI upset"
liver disease,Tenofovir (hepatitis B),Sofosbuvir-Velpatasvir (hepatitis C),Obeticholic Acid (PBC),"Renal toxicity, fatigue, headache, pruritus, nausea"
chronic constipation,Polyethylene Glycol (PEG),Bisacodyl,Lubiprostone,"Bloating, cramping, diarrhea, nausea, abdominal discomfort"
thyroid cancer,Thyroidectomy,Radioactive Iodine (I-131),Levothyroxine (TSH suppression),"Hypothyroidism, palpitations, sialadenitis, bleeding, osteoporosis"
flu (influenza),Oseltamivir,Zanamivir,Baloxavir Marboxil,"Nausea, vomiting, headache, bronchospasm (zanamivir in asthma), diarrhea"
friedrich ataxia,Riluzole (investigational),Idebenone,Physical Therapy,"Nausea, elevated liver enzymes, fatigue, muscle soreness, dizziness"
tic (movement) disorder,Behavioral Therapy (CBIT),Clonidine,Fluphenazine,"Sedation, hypotension, extrapyramidal symptoms, tardive dyskinesia, rebound hypertension"
skin polyp,Surgical Excision,Cryotherapy,Electrocautery,"Bleeding, pain, infection, scarring, hypopigmentation"
brachial neuritis,Prednisone,Ibuprofen,Physical Therapy,"Hyperglycemia, GI upset, immunosuppression, muscle soreness, osteoporosis"
cervical cancer,Radical Hysterectomy,Cisplatin-based Chemoradiation,Pembrolizumab (advanced),"Bleeding, nephrotoxicity, immune-related adverse events, myelosuppression, fatigue"
adrenal adenoma,Adrenalectomy (laparoscopic),Spironolactone (aldosteronoma),Metyrapone (Cushing's),"Adrenal insufficiency, hyperkalemia, nausea, bleeding, hirsutism"
esophagitis,Omeprazole,Esomeprazole,Pantoprazole,"Headache, diarrhea, nausea, hypomagnesemia (long-term), C. difficile infection"
gas gangrene,Penicillin G,Clindamycin,Surgical Debridement,"Allergic reactions, C. difficile colitis, bleeding, electrolyte imbalance, tissue loss"
yeast infection,Fluconazole,Miconazole (topical),Clotrimazole (topical),"Nausea, local burning, hepatotoxicity, drug interactions, skin irritation"
spina bifida,Folic Acid (prevention),Surgical Repair (myelomeningocele),Physical Therapy,"Bloating, bleeding, infection, fatigue, CSF leak"
drug poisoning due to medication,Activated Charcoal,Naloxone (opioid-specific),N-Acetylcysteine (acetaminophen),"Aspiration pneumonia, acute opioid withdrawal, nausea, vomiting, anaphylactoid reactions"
alcoholic liver disease,Abstinence from Alcohol,Prednisolone (alcoholic hepatitis),Pentoxifylline,"Withdrawal syndrome, hyperglycemia, nausea, immunosuppression, GI upset"
malignant hypertension,Labetalol (IV),Nicardipine (IV),Sodium Nitroprusside (IV),"Hypotension, bradycardia, headache, nausea, cyanide toxicity (nitroprusside)"
diverticulitis,Amoxicillin-Clavulanate (mild),Ciprofloxacin + Metronidazole (moderate),Piperacillin-Tazobactam (severe),"Diarrhea, nausea, tendinopathy, metallic taste, C. difficile infection"
moyamoya disease,Encephaloduroarteriosynangiosis (EDAS) surgery,Aspirin,Calcium Channel Blockers,"Bleeding, GI upset, peripheral edema, headache, infection"
heat exhaustion,Oral Rehydration,IV Normal Saline,Active Cooling,"Bloating, fluid overload, electrolyte disturbance, skin irritation, hyperchloremic acidosis"
psychotic disorder,Risperidone,Olanzapine,Aripiprazole,"Weight gain, sedation, metabolic syndrome, akathisia, extrapyramidal symptoms"
frostbite,Rapid Rewarming (warm water),Ibuprofen,TPA (thrombolysis - severe),"Rewarming pain, GI upset, major bleeding, blistering, reperfusion injury"
atrophy of the corpus cavernosum,Phosphodiesterase-5 Inhibitors (Sildenafil),Vacuum Erection Device,Penile Rehabilitation Therapy,"Headache, flushing, local discomfort, dyspepsia, visual disturbances"
smoking or tobacco addiction,Varenicline,Bupropion SR,Nicotine Replacement Therapy,"Nausea, insomnia, skin irritation (patches), dry mouth, vivid dreams"
sprain or strain,Ibuprofen,Naproxen,R.I.C.E. Therapy + Physical Therapy,"GI upset, peptic ulcer, muscle soreness, renal impairment, headache"
essential tremor,Propranolol,Primidone,Topiramate,"Fatigue, sedation, cognitive impairment, bradycardia, kidney stones"
open wound of the ear,Ciprofloxacin-Dexamethasone (otic),Wound Irrigation,Amoxicillin-Clavulanate (oral),"Local irritation, diarrhea, nausea, increased IOP (steroid), allergic reactions"
foreign body in the nose,Manual Removal (forceps),Positive Pressure Technique,Endoscopic Removal,"Local bleeding, mucosal trauma, pain, epistaxis, anxiety in children"
idiopathic painful menstruation,Ibuprofen,Naproxen Sodium,Combined Oral Contraceptive Pill,"GI upset, nausea, thromboembolism, renal impairment, headache"
down syndrome,Early Intervention Therapies,Levothyroxine (associated hypothyroidism),Cardiac Surgical Repair (CHD),"Emotional stress, palpitations, bleeding, arrhythmias, anesthesia risks"
idiopathic infrequent menstruation,Combined Oral Contraceptive Pill,Medroxyprogesterone Acetate,Letrozole (if fertility desired),"Nausea, irregular bleeding, hot flashes, thromboembolism, bone density loss"
pneumothorax,Needle Decompression (tension),Chest Tube Insertion,Observation (small primary),"Pain, bleeding, infection, re-expansion pulmonary edema, recurrence risk"
de quervain disease,Corticosteroid Injection,Ibuprofen,Thumb Spica Splint,"Skin atrophy, GI upset, local pain, joint stiffness, skin irritation"
fracture of the vertebra,Analgesics (Ibuprofen/Ketorolac),Vertebroplasty/Kyphoplasty (osteoporotic),Surgical Stabilization,"GI bleeding, cement leakage, infection, renal impairment, nerve damage"
human immunodeficiency virus infection (hiv),Bictegravir-Tenofovir-Emtricitabine,Dolutegravir + Tenofovir + Emtricitabine,Efavirenz + Tenofovir + Emtricitabine,"Nausea, renal toxicity, CNS effects (efavirenz), bone density loss, fatigue"
mumps,Supportive Care (rest + fluids),Ibuprofen,MMR Vaccine (prevention),"GI upset, injection site pain, fever, mild rash, renal impairment"
subarachnoid hemorrhage,Nimodipine,Surgical Clipping/Endovascular Coiling,Mannitol (ICP management),"Hypotension, bleeding, electrolyte imbalance, bradycardia, neurological deficits"
acute fatty liver of pregnancy (aflp),Immediate Delivery,IV Dextrose,Fresh Frozen Plasma (FFP),"Hemorrhage, hyperglycemia, fluid overload, transfusion reactions, anesthesia risks"
ectropion,Lubricating Eye Drops,Surgical Repair,Taping Eyelid (temporary),"Blurred vision, preservative irritation, infection, scarring, skin irritation"
scar,Silicone Gel Sheeting,Intralesional Corticosteroid Injection,Pulsed Dye Laser,"Skin irritation, skin atrophy, purpura, hypopigmentation, pain at injection site"
lactose intolerance,Lactase Enzyme Supplements,Lactose-Free Diet,Calcium + Vitamin D Supplementation,"Bloating, constipation, flatulence, nausea, hypercalcemia (if excess)"
eustachian tube dysfunction,Pseudoephedrine (decongestant),Intranasal Corticosteroids,Eustachian Tube Balloon Dilation,"Insomnia, elevated blood pressure, nasal dryness, epistaxis, procedural pain"
appendicitis,Appendectomy (laparoscopic),Ceftriaxone + Metronidazole (antibiotics),Piperacillin-Tazobactam (perforated),"Bleeding, infection, nausea, C. difficile infection, bowel obstruction"
graves disease,Methimazole,Radioactive Iodine (I-131),Thyroidectomy,"Agranulocytosis, hypothyroidism, bleeding, sialadenitis, hepatotoxicity"
dissociative disorder,Cognitive Behavioral Therapy (CBT),Psychotherapy (trauma-focused),SSRIs (comorbid depression),"Emotional distress, nausea, insomnia, sexual dysfunction, time commitment"
open wound of the face,Wound Irrigation + Closure,Amoxicillin-Clavulanate,Tetanus Prophylaxis,"Infection risk, diarrhea, injection site pain, scarring, allergic reactions"
dislocation of the vertebra,Spinal Immobilization,Surgical Reduction and Fixation,Methylprednisolone (acute SCI),"DVT, bleeding, hyperglycemia, nerve damage, immunosuppression"
phimosis,Betamethasone Cream (topical),Preputioplasty,Circumcision,"Skin atrophy, bleeding, infection, scarring, secondary infections"
hyperemesis gravidarum,Pyridoxine + Doxylamine,Ondansetron,IV Fluid Rehydration,"Sedation, constipation, QT prolongation, fluid overload, electrolyte imbalance"
pregnancy,Prenatal Folic Acid,Iron Supplementation,Prenatal Vitamins,"Nausea, constipation, GI upset, bloating, black stools"
thalassemia,Blood Transfusions (regular),Iron Chelation (Deferasirox),Hematopoietic Stem Cell Transplant,"Iron overload, renal impairment, graft-versus-host disease, transfusion reactions, nausea"
placenta previa,Betamethasone (fetal lung maturity),Cesarean Section (delivery),Magnesium Sulfate (preterm),"Maternal hyperglycemia, bleeding, flushing, nausea, respiratory depression (magnesium)"
epidural hemorrhage,Craniotomy (surgical evacuation),Mannitol (ICP reduction),Intubation (airway management),"Bleeding, electrolyte imbalance, aspiration, renal failure, neurological deficits"
septic arthritis,Ceftriaxone,Vancomycin (MRSA coverage),Joint Drainage/Washout,"Nephrotoxicity, allergic reactions, bleeding, C. difficile infection, joint stiffness"
athlete's foot,Terbinafine (topical),Clotrimazole (topical),Fluconazole (oral - severe),"Local irritation, burning, nausea, hepatotoxicity (oral), contact dermatitis"
pleural effusion,Thoracentesis,Furosemide (transudative-CHF),Pleurodesis (recurrent malignant),"Pneumothorax, electrolyte imbalance, chest pain, infection, hypotension"
aphakia,Intraocular Lens Implantation,Aphakic Contact Lens,Spectacle Correction,"Infection (endophthalmitis), corneal abrasion, vision distortion, glare, lens dislocation"
vulvar disorder,Clobetasol (lichen sclerosus),Fluconazole (vulvovaginal candidiasis),Estrogen Cream (atrophic),"Skin atrophy, nausea, local irritation, HPA suppression, spotting"
sialoadenitis,Amoxicillin-Clavulanate,Hydration + Gland Massage,Surgical Drainage (abscess),"Diarrhea, nausea, allergic reactions, bleeding, scarring"
gynecomastia,Tamoxifen,Raloxifene,Surgical Mastectomy (persistent),"Hot flashes, thromboembolism, nausea, leg cramps, bleeding"
urinary tract infection,Nitrofurantoin,Trimethoprim-Sulfamethoxazole,Ciprofloxacin,"Nausea, rash, tendinopathy, pulmonary toxicity (nitrofurantoin), photosensitivity"
histoplasmosis,Itraconazole,Amphotericin B (severe),Fluconazole (mild/maintenance),"Nausea, nephrotoxicity (amphotericin), hepatotoxicity, QT prolongation, electrolyte disturbance"
erythema multiforme,Acyclovir (HSV-triggered),Prednisone (severe),Antihistamines,"Nausea, sedation, hyperglycemia, renal impairment, dry mouth"
scoliosis,Bracing (adolescent idiopathic),Physical Therapy,Spinal Fusion (severe curves),"Skin irritation, muscle soreness, bleeding, infection, hardware failure"
bunion,Surgical Correction (bunionectomy),Ibuprofen,Orthotics/Padding,"Bleeding, GI upset, infection, local irritation, nerve damage"
arrhythmia,Metoprolol (rate control),Amiodarone (rhythm control),Flecainide (prophylaxis),"Bradycardia, pulmonary toxicity (amiodarone), pro-arrhythmic effect, thyroid dysfunction, fatigue"
trigeminal neuralgia,Carbamazepine,Oxcarbazepine,Microvascular Decompression (surgery),"Dizziness, hyponatremia, ataxia, bleeding, Stevens-Johnson syndrome risk"
ankylosing spondylitis,Naproxen (NSAIDs),Adalimumab (TNF inhibitor),Secukinumab,"GI upset, increased infection risk, injection site reactions, peptic ulcer, IBD exacerbation"
peripheral nerve disorder,Physical Therapy,Pregabalin,Duloxetine,"Muscle soreness, dizziness, somnolence, nausea, peripheral edema"
sebaceous cyst,Surgical Excision,Intralesional Corticosteroid Injection,Incision and Drainage (infected),"Bleeding, infection, skin atrophy, scarring, recurrence"
poisoning due to antipsychotics,Activated Charcoal,Physostigmine (anticholinergic effects),Supportive Care + Benzodiazepines,"Aspiration pneumonia, bradycardia, sedation, respiratory depression, constipation"
neurosis,Cognitive Behavioral Therapy (CBT),SSRIs (Sertraline),Buspirone (anxiety),"Nausea, insomnia, dizziness, sexual dysfunction, emotional distress during therapy"
prostate cancer,Enzalutamide,Leuprolide (ADT),Docetaxel (metastatic),"Hot flashes, myelosuppression, fatigue, peripheral neuropathy, bone density loss"
cerebral edema,Mannitol,Hypertonic Saline,Dexamethasone (vasogenic),"Electrolyte imbalance, hyperglycemia, renal failure, immunosuppression, hypotension"
dislocation of the finger,Closed Reduction,Splinting,Ibuprofen,"Pain, GI upset, joint stiffness, swelling, skin irritation"
birth trauma,Supportive Care,Physical Therapy (brachial plexus injury),Phototherapy (neonatal jaundice),"Muscle soreness, dehydration, skin rash, compliance challenges, psychological distress"
chronic pancreatitis,Pancreatic Enzyme Replacement (Pancrelipase),Pregabalin (pain),Celiac Plexus Block,"Nausea, dizziness, abdominal cramping, hypotension, peripheral edema"
hematoma,Aspiration/Drainage,Ibuprofen,Surgical Evacuation (large),"Local pain, GI upset, bleeding, infection, recurrence"
carcinoid syndrome,Octreotide LAR,Lanreotide,Somatostatin Analogue Therapy,"Gallstones, nausea, hyperglycemia, hypothyroidism, injection site reactions"
open wound of the head,Wound Irrigation + Closure,Cephalexin (prophylaxis),Tetanus Prophylaxis,"Infection risk, diarrhea, injection site pain, scarring, allergic reactions"
seborrheic keratosis,Cryotherapy,Curettage,Electrodesiccation,"Pain, blistering, hypopigmentation, scarring, infection"
burn,Silver Sulfadiazine (topical),Mafenide Acetate,IV Fluid Resuscitation (Parkland Formula),"Leukopenia, metabolic acidosis, fluid overload, local burning, allergic reactions"
spontaneous abortion,Misoprostol (incomplete abortion),Surgical Curettage (D&C),Rh Immunoglobulin (Rh-negative),"Cramping, bleeding, infection, uterine perforation, injection site pain"
genital herpes,Acyclovir,Valacyclovir,Famciclovir,"Nausea, headache, renal impairment, dizziness, fatigue"
adjustment reaction,Supportive Psychotherapy,CBT,Short-term Benzodiazepines (anxiety),"Emotional distress, sedation, dependence, cognitive impairment, rebound anxiety"
gallstone,Laparoscopic Cholecystectomy,Ursodeoxycholic Acid (non-surgical candidate),ESWL (Extracorporeal Shockwave),"Bleeding, diarrhea, infection, nausea, skin bruising"
multiple sclerosis,Interferon Beta-1a,Glatiramer Acetate,Natalizumab,"Flu-like symptoms, injection site reactions, PML risk (natalizumab), depression, fatigue"
zenker diverticulum,Endoscopic Staple Diverticulotomy,Surgical Diverticulectomy,Cricopharyngeal Myotomy,"Bleeding, perforation, infection, dysphagia, esophageal leak"
fracture of the pelvis,Pelvic External Fixation,ORIF (Open Reduction Internal Fixation),Pelvic Binder (acute),"Bleeding, DVT, infection, nerve damage, skin necrosis (prolonged binder)"
pneumoconiosis,Supportive Care (pulmonary rehab),Bronchodilators (Albuterol),Oxygen Therapy,"Tremor, palpitations, mucosal dryness, oxygen toxicity (high flow), hypokalemia"
hyperlipidemia,Atorvastatin,Rosuvastatin,Ezetimibe,"Myopathy, hepatotoxicity, diarrhea, headache, nausea"
ulcerative colitis,Mesalamine,Infliximab,Prednisone (acute flare),"Nausea, increased infection risk, hyperglycemia, infusion reactions, interstitial nephritis"
male genitalia infection,Doxycycline (chlamydia),Ceftriaxone (gonorrhea),Azithromycin,"Photosensitivity, nausea, QT prolongation, allergic reactions, diarrhea"
hpv (human papillomavirus),HPV Vaccine (prevention),Imiquimod (genital warts),Cryotherapy (warts),"Injection site pain, local skin reactions, flu-like symptoms, blistering, hypopigmentation"
angina,Nitroglycerin (sublingual),Aspirin,Metoprolol,"Headache, GI bleeding, bradycardia, hypotension, flushing"
injury to the spinal cord,Methylprednisolone (acute),Surgical Decompression,Physical Rehabilitation,"Hyperglycemia, bleeding, immunosuppression, infection, muscle soreness"
nasal polyp,Mometasone (intranasal),Prednisone (oral - short course),Functional Endoscopic Sinus Surgery,"Nasal dryness, epistaxis, hyperglycemia, bleeding, infection"
lichen simplex,Triamcinolone (topical corticosteroid),Tacrolimus (topical),Behavioral Therapy (anti-scratching),"Skin atrophy, local burning, hypopigmentation, secondary infections, HPA suppression"
trichiasis,Epilation,Electrolysis,Eyelid Surgery (severe),"Local discomfort, pain, scarring, skin hypopigmentation, bleeding"
acariasis,Permethrin 5% Cream (scabies),Ivermectin,Lindane (second-line),"Skin burning, nausea, dizziness, neurotoxicity (lindane), skin irritation"
colorectal cancer,Surgical Resection,Oxaliplatin + 5-Fluorouracil + Leucovorin (FOLFOX),Bevacizumab (advanced),"Bleeding, peripheral neuropathy, myelosuppression, hypertension, nausea"
skin pigmentation disorder,Hydroquinone (topical),Tretinoin + Hydroquinone,Chemical Peel (TCA),"Contact dermatitis, photosensitivity, skin irritation, ochronosis, scarring"
factitious disorder,Psychotherapy (CBT),Limit Setting (coordinated care),Antidepressants (comorbid),"Emotional distress, nausea, insomnia, resistance to treatment, sexual dysfunction"
lymphogranuloma venereum,Doxycycline,Azithromycin,Erythromycin,"Photosensitivity, nausea, QT prolongation, hepatotoxicity, GI upset"
galactorrhea of unknown cause,Cabergoline,Bromocriptine,Observation (physiologic),"Nausea, orthostatic hypotension, headache, dizziness, patient anxiety"
g6pd enzyme deficiency,Avoidance of Triggers,Folic Acid,Blood Transfusion (hemolytic crisis),"Difficulty avoiding all triggers, bloating, iron overload, transfusion reactions, alloimmunization"
nerve impingement near the shoulder,Physical Therapy,Ibuprofen (NSAIDs),Corticosteroid Injection,"Muscle soreness, GI upset, skin atrophy, tendon rupture risk, temporary pain increase"
toxoplasmosis,Pyrimethamine + Sulfadiazine,Pyrimethamine + Clindamycin,Trimethoprim-Sulfamethoxazole,"Bone marrow suppression, nausea, rash, photosensitivity, C. difficile colitis"
fibroadenoma,Observation (conservative),Ultrasound-Guided Biopsy,Surgical Excision (large/growing),"Patient anxiety, local pain, bleeding, scarring, infection"
open wound of the hand,Wound Irrigation + Closure,Amoxicillin-Clavulanate,Tetanus Prophylaxis,"Infection risk, diarrhea, injection site pain, scarring, allergic reactions"
missed abortion,Misoprostol,Surgical Evacuation (D&C),Mifepristone + Misoprostol,"Cramping, bleeding, nausea, infection, uterine perforation"
diabetic ketoacidosis,IV Insulin (Regular),IV Normal Saline,Potassium Replacement,"Hypoglycemia, fluid overload, hyperkalemia, electrolyte imbalance, phlebitis"
granuloma inguinale,Azithromycin,Doxycycline,Erythromycin,"Nausea, photosensitivity, QT prolongation, hepatotoxicity, GI upset"
obsessive compulsive disorder (ocd),Fluvoxamine,Sertraline,Clomipramine,"Nausea, insomnia, dry mouth, sexual dysfunction, QT prolongation (clomipramine)"
injury of the ankle,Ibuprofen,Naproxen,RICE Therapy + Physiotherapy,"GI upset, peptic ulcer, muscle soreness, renal impairment, headache"
hyponatremia,IV Normal Saline (mild),Hypertonic Saline 3% (severe),Tolvaptan (SIADH),"Fluid overload, osmotic demyelination (if overcorrected), hepatotoxicity, hypernatremia, thirst"
stricture of the esophagus,Esophageal Dilation (endoscopic),Proton Pump Inhibitors (peptic),Surgical Stricturoplasty,"Perforation, headache, nausea, bleeding, C. difficile infection"
fracture of the ankle,Surgical ORIF,Ankle Splinting/Casting,Ibuprofen,"Bleeding, GI upset, infection, joint stiffness, hardware failure"
soft tissue sarcoma,Surgical Resection,Doxorubicin,Radiation Therapy,"Bleeding, cardiotoxicity, myelosuppression, radiation fibrosis, nausea"
bone disorder,Alendronate (osteoporosis),Zoledronic Acid (Paget's),Calcium + Vitamin D,"Esophageal irritation, flu-like symptoms, constipation, hypocalcemia, osteonecrosis of the jaw"
epilepsy,Levetiracetam,Valproate,Lamotrigine,"Irritability, hepatotoxicity, rash (Stevens-Johnson risk), somnolence, teratogenicity"
personality disorder,Dialectical Behavior Therapy (DBT),CBT,SSRIs (comorbid depression/anxiety),"Emotional distress, nausea, insomnia, sexual dysfunction, high dropout rate"
shingles (herpes zoster),Valacyclovir,Acyclovir,Famciclovir,"Nausea, headache, renal impairment, dizziness, fatigue"
tourette syndrome,Fluphenazine,Clonidine,Behavioral Therapy (CBIT),"Extrapyramidal symptoms, sedation, hypotension, tardive dyskinesia, rebound hypertension"
avascular necrosis,Core Decompression,Total Joint Replacement,Bisphosphonates,"Bleeding, infection, esophageal irritation, osteonecrosis of the jaw, hardware failure"
strep throat,Amoxicillin,Penicillin V,Azithromycin (penicillin allergy),"Diarrhea, nausea, QT prolongation, allergic reactions, C. difficile infection"
spinocerebellar ataxia,Physical Therapy,Riluzole (investigational),Vardenafil (symptomatic),"Muscle soreness, nausea, elevated liver enzymes, headache, flushing"
osteomyelitis,Nafcillin (MSSA),Vancomycin (MRSA),Ciprofloxacin + Rifampin (chronic),"Hepatotoxicity, nephrotoxicity, tendinopathy, red man syndrome, drug interactions"
sjogren syndrome,Pilocarpine (dry mouth/eyes),Hydroxychloroquine,Artificial Tears,"Sweating, nausea, retinopathy, blurred vision, urinary frequency"
adhesive capsulitis of the shoulder,Physical Therapy,Corticosteroid Injection,Hydrodilatation,"Muscle soreness, skin atrophy, procedural pain, temporary pain increase, infection"
viral hepatitis,Sofosbuvir-Velpatasvir (HCV),Tenofovir (HBV),Entecavir (HBV),"Headache, fatigue, renal toxicity, nausea, lactic acidosis (rare)"
tonsillar hypertrophy,Tonsillectomy,Amoxicillin (if infectious),Intranasal Corticosteroids,"Bleeding, diarrhea, nasal dryness, infection, pain"
gastritis,Omeprazole,Amoxicillin + Clarithromycin + PPI (H. pylori),Sucralfate,"Headache, nausea, metallic taste, constipation, C. difficile infection"
skin cancer,Surgical Excision (BCC/SCC),Mohs Surgery (high-risk),Imiquimod (superficial BCC),"Bleeding, infection, scarring, local skin reactions, erythema"
rheumatic fever,Penicillin V,Amoxicillin,Aspirin (anti-inflammatory),"Nausea, GI bleeding, allergic reactions, C. difficile infection, tinnitus"
aphthous ulcer,Triamcinolone Acetonide (topical),Chlorhexidine Mouthwash,Dexamethasone Elixir,"Local burning, teeth staining, secondary oral candidiasis, altered taste, adrenal suppression"
tonsillitis,Amoxicillin,Penicillin V,Tonsillectomy (recurrent),"Diarrhea, nausea, bleeding, allergic reactions, infection"
intestinal cancer,Surgical Resection,FOLFOX (Oxaliplatin + 5-FU + Leucovorin),Capecitabine,"Bleeding, peripheral neuropathy, hand-foot syndrome, myelosuppression, nausea"
rocky mountain spotted fever,Doxycycline,Chloramphenicol (pregnancy),Tetracycline,"Photosensitivity, bone marrow suppression, GI upset, esophageal irritation, hepatotoxicity"
stomach cancer,Gastrectomy (surgical),Trastuzumab + Chemotherapy (HER2+),Oxaliplatin + Capecitabine,"Dumping syndrome, cardiotoxicity, peripheral neuropathy, myelosuppression, nausea"
developmental disability,Early Intervention Therapy,Applied Behavior Analysis (ABA),Special Education Services,"Emotional distress, caregiver fatigue, time commitment, cost, limited generalization"
acute stress reaction,Supportive Psychological First Aid,CBT,Short-term Propranolol,"Emotional distress, bradycardia, fatigue, hypotension, bronchospasm"
delirium,Treat Underlying Cause,Haloperidol (agitation),Environmental Reorientation,"Extrapyramidal symptoms, QT prolongation, sedation, staff burden, variable efficacy"
